,1-methylhistidine,3-methylhistidine,Caffeine,Hexadecenoylcarnitine,Hexanoylcarnitine,Hydroxydecanoylcarnitine,Hypoxanthine,Inosine,Linoleoylcarnitine,N-methyl proline,N1-methyl-2-pyridone-5-carboxamide,N1-methyl-4-pyridone-3-carboxamide,Octanoylcarnitine,Oleoylcarnitine,Palmitoylcarnitine,Paraxanthine,Proline betaine,Stearoylcarnitine,Tetradecadienoylcarnitine,Tetradecanoylcarnitine
1-methylhistidine,0.0,0.99789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-methylhistidine,0.99789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caffeine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75058,0.0,0.0,0.0,0.0
Hexadecenoylcarnitine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79527,0.76541,0.0,0.0,0.0,0.0,0.79198
Hexanoylcarnitine,0.0,0.0,0.0,0.0,0.0,0.74311,0.0,0.0,0.0,0.0,0.0,0.0,0.82867,0.0,0.0,0.0,0.0,0.0,0.74511,0.0
Hydroxydecanoylcarnitine,0.0,0.0,0.0,0.0,0.74311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84801,0.0,0.0,0.0,0.0,0.0,0.85685,0.0
Hypoxanthine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inosine,0.0,0.0,0.0,0.0,0.0,0.0,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linoleoylcarnitine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70041,0.0,0.0,0.0,0.0,0.0,0.0
N-methyl proline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8381,0.0,0.0,0.0
N1-methyl-2-pyridone-5-carboxamide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N1-methyl-4-pyridone-3-carboxamide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Octanoylcarnitine,0.0,0.0,0.0,0.0,0.82867,0.84801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82407,0.0
Oleoylcarnitine,0.0,0.0,0.0,0.79527,0.0,0.0,0.0,0.0,0.70041,0.0,0.0,0.0,0.0,0.0,0.74273,0.0,0.0,0.76678,0.0,0.0
Palmitoylcarnitine,0.0,0.0,0.0,0.76541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74273,0.0,0.0,0.0,0.73739,0.0,0.70766
Paraxanthine,0.0,0.0,0.75058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proline betaine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stearoylcarnitine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76678,0.73739,0.0,0.0,0.0,0.0,0.0
Tetradecadienoylcarnitine,0.0,0.0,0.0,0.0,0.74511,0.85685,0.0,0.0,0.0,0.0,0.0,0.0,0.82407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tetradecanoylcarnitine,0.0,0.0,0.0,0.79198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70766,0.0,0.0,0.0,0.0,0.0
